time,vcache,global_ctr,tag,instr_ld,instr_ld_ld,instr_ld_ldu,instr_ld_lw,instr_ld_lwu,instr_ld_lh,instr_ld_lhu,instr_ld_lb,instr_ld_lbu,instr_st,instr_sm_sd,instr_sm_sw,instr_sm_sh,instr_sm_sb,instr_tagst,instr_tagfl,instr_taglv,instr_tagla,instr_afl,instr_aflinv,instr_ainv,instr_alock,instr_aunlock,instr_atomic,instr_amoswap,instr_amoor,miss_ld,miss_st,stall_miss,stall_idle,dma_read_req,dma_write_req
275679200000,tb.card.fpga.CL.lv1_vcache.vcache[19].vcache.cache.vcache_prof,7026550,2182873088,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020858,45,43
275679200000,tb.card.fpga.CL.lv1_vcache.vcache[20].vcache.cache.vcache_prof,7026550,2182873088,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020858,45,43
275679200000,tb.card.fpga.CL.lv1_vcache.vcache[21].vcache.cache.vcache_prof,7026550,2182873088,1,0,0,1,0,0,0,0,0, 1314,0,1314,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020877,45,43
275679200000,tb.card.fpga.CL.lv1_vcache.vcache[22].vcache.cache.vcache_prof,7026550,2182873088,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020858,45,43
275679200000,tb.card.fpga.CL.lv1_vcache.vcache[23].vcache.cache.vcache_prof,7026550,2182873088,213,0,0,213,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 3,43,4160,7019990,46,43
275679200000,tb.card.fpga.CL.lv1_vcache.vcache[24].vcache.cache.vcache_prof,7026550,2182873088,358,0,0,358,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 3,43,3544,7020461,46,43
275679200000,tb.card.fpga.CL.lv1_vcache.vcache[25].vcache.cache.vcache_prof,7026550,2182873088,13,0,0,13,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 3,43,3544,7020806,46,43
275679200000,tb.card.fpga.CL.lv1_vcache.vcache[26].vcache.cache.vcache_prof,7026550,2182873088,1,0,0,1,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020858,45,43
275679200000,tb.card.fpga.CL.lv1_vcache.vcache[27].vcache.cache.vcache_prof,7026550,2182873088,2433,0,0,2433,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7018426,45,43
275679200000,tb.card.fpga.CL.lv1_vcache.vcache[28].vcache.cache.vcache_prof,7026550,2182873088,385,0,0,385,0,0,0,0,0, 1333,0,1333,0,0, 512,384,0,0, 0,0,0,0,0, 0,0,0, 2,43,3504,7020474,45,43
